# List of Objects to be Observed.
# Comment 'Y' (else 'N') in the column 'ToPlot' if you want the object to be plotted 
 Name              RA              DEC       Comments  Plot
2021adlw        11:41:17.82     +36:32:34.7    None     N 
2021yja         03:24:21.17     -21:33:56.2    None     N 
2021sjt         20:37:19.20     +66:06:23.1    None     N 
2021qqu         03:37:51.90     -14:58:33.8    None     N 
2021gmj         10:38:47.17     +53:30:31.0    None     N 
2021aai         07:14:26.85     +84:22:51.5    None     N 
2021do          10:16:56.67     +73:23:51.3    None     N 
2020adow        08:33:42.18     +27:42:43.3    None     N 
2020aatb        05:24:46.41     -15:56:31.4    None     N 
2020zgl         23:28:01.15     -02:09:53.6    None     N 
2020tlf         14:40:10.03     +42:46:39.6    None     N 
2020mjm         14:29:29.33     -00:01:17.8    None     N 
2020hvp         16:21:45.39     -02:17:21.3    None     N 
2020dpw         20:37:10.72     +66:06:12.8    None     N 
2020cxd         17:26:29.26     +71:05:38.6    None     N 
2020bio         13:55:37.69     +40:28:39.1    None     N 
2019pjs         18:04:40.34     +21:38:04.2    None     N 
2019hsw         09:20:33.70     +64:04:22.9    None     N 
2019enr         09:34:47.71     +10:17:12.8    None     N 
2018ivc         02:42:41.29     -00:00:31.8    None     N 
2018gjx         02:16:15.55     +28:35:28.7    None     N 
2019yz          15:41:57.30     +00:42:39.4    None     N 
2018hay         09:23:17.76     +42:22:47.5    None     N 
2018get         07:34:09.07     +04:32:57.9    None     N 
2018cdc         00:51:05.24     -07:03:47.0    None     N 
2018zd          06:18:03.18     +78:22:00.9    None     N 
2018gj          16:32:02.40     +78:12:41.1    None     N 
2017gmk         23:14:45.10     +04:31:51.1    None     N 
2017hta         03:39:47.58     +66:43:06.0    None     N 
2017gmr         02:35:30.15     -09:21:15.0    None     N 
2022jli         00:34:45.2      -08:23:25.0    None     N 
2022jzv         12:05:28.661    +50:31:36.55   None     Y
